city_local,city,forecast_date,bucket_label,bucket_temp_c,resolved,winner,last_price_yes,market_volume,event_volume
Londra,London,2026-03-12,7C or below,7,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,8C,8,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,9C,9,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,10C,10,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,11C,11,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,12C,12,1,Yes,1.0,0.0,0.0
Londra,London,2026-03-12,13C,13,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,14C,14,1,No,0.0,0.0,0.0
Londra,London,2026-03-12,15C or higher,15,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,4C or below,4,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,5C,5,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,6C,6,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,7C,7,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,8C,8,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,9C,9,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,10C,10,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,11C,11,1,No,0.0,0.0,0.0
Londra,London,2026-03-13,12C or higher,12,1,Yes,1.0,0.0,0.0
Londra,London,2026-03-14,6C or below,6,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-14,7C,7,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-14,8C,8,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-14,9C,9,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-14,10C,10,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-14,11C,11,1,Yes,1.0,0.0,27879.608557999993
Londra,London,2026-03-14,12C,12,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-14,13C,13,1,No,0.0,27879.608557999993,27879.608557999993
Londra,London,2026-03-14,14C or higher,14,1,No,0.0,0.0,27879.608557999993
Londra,London,2026-03-15,6C or below,6,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-15,7C,7,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-15,8C,8,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-15,9C,9,1,No,0.0,10597.986500000003,10597.986500000003
Londra,London,2026-03-15,10C,10,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-15,11C,11,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-15,12C,12,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-15,13C,13,1,Yes,1.0,0.0,10597.986500000003
Londra,London,2026-03-15,14C or higher,14,1,No,0.0,0.0,10597.986500000003
Londra,London,2026-03-16,5C or below,5,1,No,0.0,10733.531728000002,164453.52533999996
Londra,London,2026-03-16,6C,6,1,No,0.0,0.0,164453.52533999996
Londra,London,2026-03-16,7C,7,1,No,0.0,0.0,164453.52533999996
Londra,London,2026-03-16,8C,8,1,No,0.0,6628.115012000004,164453.52533999996
Londra,London,2026-03-16,9C,9,1,No,0.0,0.0,164453.52533999996
Londra,London,2026-03-16,10C,10,1,No,0.0,0.0,164453.52533999996
Londra,London,2026-03-16,11C,11,1,No,0.0,0.0,164453.52533999996
Londra,London,2026-03-16,12C,12,1,Yes,1.0,51223.38356399996,164453.52533999996
Londra,London,2026-03-16,13C,13,1,No,0.0,30970.557008999996,164453.52533999996
Londra,London,2026-03-16,14C,14,1,No,0.0,40556.12388699998,164453.52533999996
Londra,London,2026-03-16,15C or higher,15,1,No,0.0,24341.814140000013,164453.52533999996
Londra,London,2026-03-17,8C or below,8,1,No,0.0,7741.051263999998,340674.6748829998
Londra,London,2026-03-17,9C,9,1,No,0.0,16761.144425000017,340674.6748829998
Londra,London,2026-03-17,10C,10,1,No,0.0,9430.152826,340674.6748829998
Londra,London,2026-03-17,11C,11,1,No,0.0,21487.708205000006,340674.6748829998
Londra,London,2026-03-17,12C,12,1,No,0.0,25494.364851999995,340674.6748829998
Londra,London,2026-03-17,13C,13,1,No,0.0,32808.61109700001,340674.6748829998
Londra,London,2026-03-17,14C,14,1,No,0.0,59863.145269,340674.6748829998
Londra,London,2026-03-17,15C,15,1,Yes,0.998,40249.82999499991,340674.6748829998
Londra,London,2026-03-17,16C,16,1,No,0.002,78932.0432319999,340674.6748829998
Londra,London,2026-03-17,17C,17,1,No,0.0005,29610.163082999974,340674.6748829998
Londra,London,2026-03-17,18C or higher,18,1,No,0.0005,18296.460635000014,340674.6748829998
