city_local,city,forecast_date,bucket_label,bucket_temp_c,resolved,winner,last_price_yes,market_volume,event_volume
Seoul,Seoul,2026-03-12,5C or below,5,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,6C,6,1,No,0.0,16606.690867000005,16606.690867000005
Seoul,Seoul,2026-03-12,7C,7,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,8C,8,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,9C,9,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,10C,10,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,11C,11,1,Yes,1.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,12C,12,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-12,13C or higher,13,1,No,0.0,0.0,16606.690867000005
Seoul,Seoul,2026-03-13,4C or below,4,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,5C,5,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,6C,6,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,7C,7,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,8C,8,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,9C,9,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,10C,10,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-13,11C,11,1,Yes,1.0,0.0,0.0
Seoul,Seoul,2026-03-13,12C or higher,12,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,3C or below,3,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,4C,4,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,5C,5,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,6C,6,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,7C,7,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,8C,8,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,9C,9,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,10C,10,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-14,11C or higher,11,1,Yes,1.0,0.0,0.0
Seoul,Seoul,2026-03-15,3C or below,3,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,4C,4,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,5C,5,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,6C,6,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,7C,7,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,8C,8,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,9C,9,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-15,10C,10,1,Yes,1.0,0.0,0.0
Seoul,Seoul,2026-03-15,11C or higher,11,1,No,0.0,0.0,0.0
Seoul,Seoul,2026-03-16,2C or below,2,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,3C,3,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,4C,4,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,5C,5,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,6C,6,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,7C,7,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,8C,8,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,9C,9,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,10C,10,1,Yes,1.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-16,11C,11,1,No,0.0,88924.30944600003,88924.30944600003
Seoul,Seoul,2026-03-16,12C or higher,12,1,No,0.0,0.0,88924.30944600003
Seoul,Seoul,2026-03-17,3C or below,3,1,No,0.0,27818.294188,574791.8675640001
Seoul,Seoul,2026-03-17,4C,4,1,No,0.0,17832.641046999997,574791.8675640001
Seoul,Seoul,2026-03-17,5C,5,1,No,0.0,17417.088630000002,574791.8675640001
Seoul,Seoul,2026-03-17,6C,6,1,No,0.0,25515.320179,574791.8675640001
Seoul,Seoul,2026-03-17,7C,7,1,No,0.0,26959.279928999997,574791.8675640001
Seoul,Seoul,2026-03-17,8C,8,1,No,0.0,27601.15369699998,574791.8675640001
Seoul,Seoul,2026-03-17,9C,9,1,No,0.0,45846.056009000014,574791.8675640001
Seoul,Seoul,2026-03-17,10C,10,1,No,0.0,70990.20164100005,574791.8675640001
Seoul,Seoul,2026-03-17,11C,11,1,No,0.0,138203.09422600007,574791.8675640001
Seoul,Seoul,2026-03-17,12C,12,1,Yes,1.0,72992.11140500002,574791.8675640001
Seoul,Seoul,2026-03-17,13C or higher,13,1,No,0.0,103616.62661299999,574791.8675640001
